comment,sentiment_label
"i was cured of ever buying another iwatch.  there is zero chance i buy another.<br><br>all you have to do to be cured - update the software.  when it pairs, takes 10 hours, then says it cannot pair, then you have to reset your watch, then try to do it again and again and again - you will never buy another iwatch.<br><br>it&#39;s apprent apple does not test their software and make sure these things do not get stuck and when they do - it fixes it along the way or picks up where it left off.  it&#39;s absurd what you have to do to try and get it updated.  i finally gave up and sold it.  every time i see a one - i think of the pain and nightmare of the truly horrible device.  <br><br>do you want to see your heart rate rise?  update the software.  how it&#39;s this bad is just shocking.",0
"after having an apple watch for nearly a year, i just don&#39;t like smart watches. makes no sense when you have an iphone and just never used it and charging it every day or two is the worst.",0
just picked up a open box 46mm series 10 with cellular on ebay for $359. saved $200,1
yeah this is about as bad as those airpod max 2. little upgrades.,0
i feel apple needs to remove the crown from  its watches as most of its functions can be done by a combination touchscreen already and a button,2
"i actually lucked out. i was looking for a used watch and found a 5 for 1000kr but then found a 7 also used for 1200kr, but that guy ghosted me, so i waited for january sale and bought a 9 on sale for 1600kr. they ran out of stock and gave me a 10 instead for the same price. first one so very excited!",1
i will go back to apple watch once they out a circular shape.,2
is this cool finger tap gesture new this time?,1
i got this mess for a gift..   i hate i&#39;m not putting it on..  i never ask for it.    it will stay in the box&#39;s,0
i&#39;ve been waiting for the blood glucose sensor that was hinted about a couple of years back.,2
"i upgraded to the 10, only because my 6 was ready to be done. but, thats the only reason.",1
yea this is this guys original voice!!!!! sure!!!!!,1
"if anyone is looking for a fitness tracker app, would suggest to use bevel link, its amazing helps me alot in my daily routine",1
what if u just switched to the iphone is the watch worth it,1
"459 euros ltpo3 instead of ltpo4 , that&#39;s great, older tech for a high price is good.",1
how long does the apple watch series 10 gps+cellular battery lasts for moderate use?,2
i have it and love it,1
aren&#39;t you like an ufc fighter?,1
does it sense blood pressure and ecg?,0
recently upgraded from a series 4 (had it since 2019) to the series 10. deffo worth it.,1
the goat of honest reviews!,1
gf just upgraded me from the series 2 to this watch. very happy with the upgrade!! this thing rocks,1
$150 huawei watch can do way better job than this.,1
intro song name please,1
thete is not much you can do to the design instead of really small updates and thats fine. the watch is good as is.,1
that&#39;s a better design <br>i wish the new phone series comes with a relative design to this one,1
"as a swimmer, the water temp thing sounds good. i&#39;m not talking deep water, but just out my backyard, but i&#39;m in wisconsin, so it would be nice because the floating thermometers get condensation and don&#39;t seem very accurate.",1
watches look weird on the right wrist,0
mine is arriving tlmorrow. my first ever watch,2
someone tell me the difference between watch se and this one,2
"so i started running, is this or garmin better ?",1
i have the apple watch se 1,2
"i&#39;m very pleased with mine but it&#39;s my very first. i also have an apple watch 9 which seems very similar, except we got that for the oxygen sensor. i know apple watch 10 will have that someday, but i don&#39;t think for a long time.",1
"seeing this video while wearing apple watch series 3, which i have been using from last 6.5 years",2
give me one if u realy dnt neef it,2
"in india apple watch 10 is free, but you need to walk 15k steps daily for a year to be eligible for the offer",1
there you are mama ramos!!<br>eraba preocupado,2
i am on se first gen,2
"not really a complaint, but every time i watch your videos, i lower my brightness.",1
"so confused . i have the watch 7, do i upgrade to a 10 ?",0
this ad you have is the most ridiculous thing ever )),0
i loved the end where he said apple is like take it or leave it,1
you are excellent. thank you for informiing before the purchase.,1
"bought the series 10 even i have series 9. all i wanted is slimmer design with jet black and lte needed anyways this year. luckily i can sell series 9 with good price, so gap between update is minimal too. besides, if you compare series 9 and 10, they are quite different in terms of physical shape, despite their internal is similar.",1
"i just got the apple series 10 watch today , last smart watch i had was the series 3 the 10 is perfect for daily use",1
is a series 7 upgraded to 10 worth it?,1
they need facetime,2
"hi there, love the channel and will continue to support it but quick question, do you experiencing wrist pain when wearing the apple watch ? the area where the apple watch sits on the wrist.",0
"i do really like the slimmer profile, lighter weight and faster charging. not to forget the black design instead of the midnight.",1
"i love the slightly bigger screen and titanium finish, with the new magnetic strap!",1
